timestamp,weather_icon,wind_speed,humidity,temperature,location
1990-04-19T07:00:00+07:00,cloudy,10.8 km/h,89%,24.3°,Hà Nội
1990-04-20T07:00:00+07:00,cloudy,7.2 km/h,88%,26.8°,Hà Nội
1990-04-21T07:00:00+07:00,partly-cloudy-day,7.2 km/h,71%,29.5°,Hà Nội
1990-04-22T07:00:00+07:00,clear-day,0.0 km/h,70%,29.2°,Hà Nội
1990-04-23T07:00:00+07:00,partly-cloudy-day,10.8 km/h,72%,27.8°,Hà Nội
1990-04-24T07:00:00+07:00,cloudy,14.4 km/h,80%,21.2°,Hà Nội
1990-04-25T07:00:00+07:00,cloudy,10.8 km/h,84%,20.5°,Hà Nội
1990-04-26T07:00:00+07:00,partly-cloudy-day,39.6 km/h,78%,22.2°,Hà Nội
1990-04-27T07:00:00+07:00,partly-cloudy-day,7.2 km/h,79%,24.1°,Hà Nội
1990-04-28T07:00:00+07:00,partly-cloudy-day,7.6 km/h,91%,23.1°,Hà Nội
1990-04-29T07:00:00+07:00,partly-cloudy-day,14.4 km/h,80%,27.9°,Hà Nội
1990-04-30T07:00:00+07:00,partly-cloudy-day,14.4 km/h,83%,27.1°,Hà Nội
1990-05-01T07:00:00+07:00,cloudy,10.8 km/h,86%,26.7°,Hà Nội
1990-05-02T07:00:00+07:00,partly-cloudy-day,10.8 km/h,85%,27.7°,Hà Nội
1990-05-03T07:00:00+07:00,cloudy,10.8 km/h,89%,26.8°,Hà Nội
1990-05-04T07:00:00+07:00,partly-cloudy-day,10.8 km/h,80%,21.6°,Hà Nội
1990-05-05T07:00:00+07:00,partly-cloudy-day,7.2 km/h,73%,23.6°,Hà Nội
1990-05-06T07:00:00+07:00,partly-cloudy-day,7.2 km/h,65%,25.2°,Hà Nội
1990-05-07T07:00:00+07:00,partly-cloudy-day,7.2 km/h,69%,26.1°,Hà Nội
1990-05-08T07:00:00+07:00,cloudy,7.2 km/h,86%,24.6°,Hà Nội
1990-05-09T07:00:00+07:00,partly-cloudy-day,7.2 km/h,84%,26.5°,Hà Nội
1990-05-10T07:00:00+07:00,cloudy,14.4 km/h,86%,26.7°,Hà Nội
1990-05-11T07:00:00+07:00,cloudy,10.8 km/h,80%,26.2°,Hà Nội
1990-05-12T07:00:00+07:00,partly-cloudy-day,7.2 km/h,82%,25.5°,Hà Nội
1990-05-13T07:00:00+07:00,partly-cloudy-day,7.2 km/h,79%,27.0°,Hà Nội
1990-05-14T07:00:00+07:00,partly-cloudy-day,10.8 km/h,80%,27.7°,Hà Nội
1990-05-15T07:00:00+07:00,partly-cloudy-day,10.8 km/h,84%,27.6°,Hà Nội
1990-05-16T07:00:00+07:00,cloudy,21.6 km/h,82%,25.9°,Hà Nội
1990-05-17T07:00:00+07:00,cloudy,14.4 km/h,86%,22.3°,Hà Nội
1990-05-18T07:00:00+07:00,partly-cloudy-day,3.6 km/h,72%,25.7°,Hà Nội
1990-05-19T07:00:00+07:00,partly-cloudy-day,10.8 km/h,70%,27.4°,Hà Nội
1990-05-20T07:00:00+07:00,cloudy,7.2 km/h,87%,25.9°,Hà Nội
1990-05-21T07:00:00+07:00,cloudy,10.8 km/h,86%,27.7°,Hà Nội
1990-05-22T07:00:00+07:00,cloudy,14.4 km/h,85%,28.3°,Hà Nội
1990-05-23T07:00:00+07:00,cloudy,14.4 km/h,89%,27.0°,Hà Nội
1990-05-24T07:00:00+07:00,cloudy,22.3 km/h,83%,22.0°,Hà Nội
1990-05-25T07:00:00+07:00,partly-cloudy-day,10.8 km/h,75%,24.3°,Hà Nội
1990-05-26T07:00:00+07:00,partly-cloudy-day,7.2 km/h,75%,26.2°,Hà Nội
1990-05-27T07:00:00+07:00,partly-cloudy-day,7.2 km/h,76%,27.3°,Hà Nội
1990-05-28T07:00:00+07:00,partly-cloudy-day,7.2 km/h,78%,28.0°,Hà Nội
1990-05-29T07:00:00+07:00,partly-cloudy-day,7.2 km/h,78%,28.9°,Hà Nội
1990-05-30T07:00:00+07:00,cloudy,10.8 km/h,86%,27.8°,Hà Nội
1990-05-31T07:00:00+07:00,cloudy,7.2 km/h,89%,27.2°,Hà Nội
1990-06-01T07:00:00+07:00,cloudy,25.2 km/h,73%,26.5°,Hà Nội
1990-06-02T07:00:00+07:00,partly-cloudy-day,7.2 km/h,73%,27.8°,Hà Nội
1990-06-03T07:00:00+07:00,cloudy,7.2 km/h,82%,26.9°,Hà Nội
1990-06-04T07:00:00+07:00,cloudy,10.8 km/h,79%,26.5°,Hà Nội
1990-06-05T07:00:00+07:00,partly-cloudy-day,10.8 km/h,81%,29.6°,Hà Nội
1990-06-06T07:00:00+07:00,partly-cloudy-day,10.8 km/h,82%,30.0°,Hà Nội
1990-06-07T07:00:00+07:00,partly-cloudy-day,10.8 km/h,64%,32.8°,Hà Nội
1990-06-08T07:00:00+07:00,partly-cloudy-day,18.0 km/h,74%,29.6°,Hà Nội
1990-06-09T07:00:00+07:00,partly-cloudy-day,7.2 km/h,77%,28.3°,Hà Nội
1990-06-10T07:00:00+07:00,partly-cloudy-day,10.8 km/h,77%,29.3°,Hà Nội
1990-06-11T07:00:00+07:00,cloudy,7.2 km/h,89%,27.5°,Hà Nội
1990-06-12T07:00:00+07:00,partly-cloudy-day,0.0 km/h,92%,26.6°,Hà Nội
1990-06-13T07:00:00+07:00,partly-cloudy-day,10.8 km/h,80%,29.9°,Hà Nội
1990-06-14T07:00:00+07:00,partly-cloudy-day,25.2 km/h,82%,30.4°,Hà Nội
1990-06-15T07:00:00+07:00,partly-cloudy-day,10.8 km/h,81%,29.4°,Hà Nội
1990-06-16T07:00:00+07:00,partly-cloudy-day,10.8 km/h,75%,30.7°,Hà Nội
1990-06-17T07:00:00+07:00,partly-cloudy-day,14.4 km/h,74%,30.9°,Hà Nội
1990-06-18T07:00:00+07:00,partly-cloudy-day,7.2 km/h,74%,30.5°,Hà Nội
1990-06-19T07:00:00+07:00,cloudy,10.8 km/h,90%,27.9°,Hà Nội
1990-06-20T07:00:00+07:00,cloudy,10.8 km/h,90%,27.1°,Hà Nội
1990-06-21T07:00:00+07:00,cloudy,14.4 km/h,79%,29.8°,Hà Nội
1990-06-22T07:00:00+07:00,partly-cloudy-day,3.6 km/h,84%,28.4°,Hà Nội
1990-06-23T07:00:00+07:00,partly-cloudy-day,10.8 km/h,78%,29.9°,Hà Nội
1990-06-24T07:00:00+07:00,cloudy,7.2 km/h,78%,29.3°,Hà Nội
1990-06-25T07:00:00+07:00,partly-cloudy-day,7.2 km/h,82%,28.7°,Hà Nội
1990-06-26T07:00:00+07:00,cloudy,7.2 km/h,87%,28.2°,Hà Nội
1990-06-27T07:00:00+07:00,cloudy,7.6 km/h,85%,28.2°,Hà Nội
1990-06-28T07:00:00+07:00,cloudy,10.8 km/h,85%,27.7°,Hà Nội
1990-06-29T07:00:00+07:00,partly-cloudy-day,10.8 km/h,80%,28.9°,Hà Nội
