year,month,day,day_of_week,is_weekend,is_winter,is_spring,is_summer,is_fall,title_length,content_length,keywords_count,kw_không khí,kw_sương mù,kw_cháy,kw_nhà máy,kw_khói,kw_bụi,kw_ô nhiễm không khí,kw_đốt,kw_khí thải,kw_bụi mịn,kw_pm2.5,kw_đốt rơm rạ,kw_khí độc,kw_no2,kw_cháy rừng
2024,12,25,2,0,1,0,0,0,56,3057,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,12,25,2,0,1,0,0,0,59,4636,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2024,12,24,1,0,1,0,0,0,57,3136,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,4,5,5,1,0,1,0,0,50,4167,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025,1,17,4,0,1,0,0,0,55,3788,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025,1,9,3,0,1,0,0,0,42,4694,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2025,1,9,3,0,1,0,0,0,66,2881,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2024,12,17,1,0,1,0,0,0,54,6295,5,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0
2024,11,14,3,0,0,0,0,1,48,3384,5,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
2023,12,27,2,0,1,0,0,0,18,5270,7,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0
2023,12,15,4,0,1,0,0,0,38,6658,9,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0
2023,12,4,0,0,1,0,0,0,39,4614,9,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
2023,7,10,0,0,0,0,1,0,51,2685,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023,6,4,6,1,0,0,1,0,33,6049,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,6,4,0,1,0,0,0,53,1743,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,12,13,1,0,1,0,0,0,55,5263,7,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0
2022,12,7,2,0,1,0,0,0,52,5394,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,11,25,4,0,0,0,0,1,39,8625,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2022,11,15,1,0,0,0,0,1,38,966,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022,3,10,3,0,0,1,0,0,40,3116,5,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0
2022,1,4,1,0,1,0,0,0,62,2538,7,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
2021,11,12,4,0,0,0,0,1,40,3456,5,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
2021,11,11,3,0,0,0,0,1,48,2265,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
